"timestamp","container","test_type","model","run","final verdict","rv_traces_used","input_tokens","output_tokens","total_tokens","llm_seconds"
"2026-05-03T23:30:18+00:00","elasticjobf0d","nio","claude","run 1","PASSED","yes","17451","1418","18869","20.3"
"2026-05-03T23:32:58+00:00","elasticjobf0d","nio","claude","run 2","PASSED","yes","9606","1902","11508","23.8"
"2026-05-03T23:35:06+00:00","elasticjobf0d","nio","openai","run 1","PASSED","yes","15991","940","16931","9.8"
"2026-05-03T23:38:11+00:00","elasticjobf0d","nio","openai","run 2","FAILED","yes","37406","1794","39200","14.4"
"2026-05-03T23:41:23+00:00","elasticjobf0d","nio","claude","run 1","PASSED","no","6128","1631","7759","25.9"
"2026-05-03T23:43:54+00:00","elasticjobf0d","nio","claude","run 2","PASSED","no","6128","2244","8372","25.0"
"2026-05-03T23:46:10+00:00","elasticjobf0d","nio","openai","run 1","PASSED","no","10940","975","11915","6.6"
"2026-05-03T23:49:26+00:00","elasticjobf0d","nio","openai","run 2","FAILED","no","27726","1889","29615","16.0"
"2026-05-03T23:53:09+00:00","quickcheck9a0","nio","claude","run 1","PASSED","yes","8645","1155","9800","16.4"
"2026-05-03T23:55:27+00:00","quickcheck9a0","nio","claude","run 2","PASSED","yes","8645","1083","9728","14.8"
"2026-05-03T23:57:25+00:00","quickcheck9a0","nio","openai","run 1","PASSED","yes","14432","744","15176","5.8"
"2026-05-03T23:59:19+00:00","quickcheck9a0","nio","openai","run 2","PASSED","yes","14430","659","15089","5.8"
"2026-05-04T00:02:05+00:00","quickcheck9a0","nio","claude","run 1","PASSED","no","7623","1643","9266","18.5"
"2026-05-04T00:04:43+00:00","quickcheck9a0","nio","claude","run 2","PASSED","no","7623","1719","9342","19.9"
"2026-05-04T00:06:49+00:00","quickcheck9a0","nio","openai","run 1","PASSED","no","12708","688","13396","10.4"
"2026-05-04T00:08:53+00:00","quickcheck9a0","nio","openai","run 2","PASSED","no","12816","722","13538","10.0"
"2026-05-04T00:21:25+00:00","quickcheckc1c2","nio","claude","run 1","PASSED","yes","5888","940","6828","14.2"
"2026-05-04T00:23:25+00:00","quickcheckc1c2","nio","claude","run 2","PASSED","yes","5888","950","6838","13.9"
"2026-05-04T00:25:35+00:00","quickcheckc1c2","nio","openai","run 1","PASSED","yes","10490","665","11155","21.9"
"2026-05-04T00:27:32+00:00","quickcheckc1c2","nio","openai","run 2","PASSED","yes","10492","671","11163","7.0"
"2026-05-04T00:12:10+00:00","quickcheckc1c2","nio","claude","run 1","PASSED","no","5319","952","6271","16.6"
"2026-05-04T00:14:06+00:00","quickcheckc1c2","nio","claude","run 2","PASSED","no","5319","958","6277","14.6"
"2026-05-04T00:15:55+00:00","quickcheckc1c2","nio","openai","run 1","PASSED","no","9472","672","10144","7.3"
"2026-05-04T00:17:48+00:00","quickcheckc1c2","nio","openai","run 2","PASSED","no","9480","649","10129","8.5"
"2026-05-04T00:30:34+00:00","elasticjob294","nio","claude","run 1","PASSED","yes","32764","5404","38168","64.8"
"2026-05-04T00:33:00+00:00","elasticjob294","nio","claude","run 2","PASSED","yes","18711","3791","22502","63.6"
"2026-05-04T00:35:01+00:00","elasticjob294","nio","openai","run 1","FAILED","yes","33444","1735","35179","15.3"
"2026-05-04T00:37:14+00:00","elasticjob294","nio","openai","run 2","FAILED","yes","33999","2076","36075","20.9"
"2026-05-04T00:40:33+00:00","elasticjob294","nio","claude","run 1","FAILED","no","36724","6312","43036","89.9"
"2026-05-04T00:43:06+00:00","elasticjob294","nio","claude","run 2","PASSED","no","13482","3221","16703","48.2"
"2026-05-04T00:44:58+00:00","elasticjob294","nio","openai","run 1","FAILED","no","25456","2072","27528","16.4"
"2026-05-04T00:47:09+00:00","elasticjob294","nio","openai","run 2","FAILED","no","25223","1927","27150","17.0"
"2026-05-04T00:51:37+00:00","elasticjob003","nio","claude","run 1","FAILED","yes","46335","11901","58236","153.5"
"2026-05-04T00:55:38+00:00","elasticjob003","nio","claude","run 2","PASSED","yes","43265","8750","52015","111.4"
"2026-05-04T00:57:45+00:00","elasticjob003","nio","openai","run 1","FAILED","yes","39788","2015","41803","15.0"
"2026-05-04T01:00:05+00:00","elasticjob003","nio","openai","run 2","FAILED","yes","46169","2221","48390","18.6"
"2026-05-04T01:07:07+00:00","elasticjob003","nio","openai","run 1","PASSED","no","28656","2335","30991","21.5"
"2026-05-04T01:09:36+00:00","elasticjob003","nio","openai","run 2","FAILED","no","28944","2233","31177","21.7"
"2026-05-04T01:15:39+00:00","elasticjob003","nio","claude","run 1","PASSED","no","15851","5233","21084","71.8"
"2026-05-04T01:19:32+00:00","elasticjob003","nio","claude","run 2","FAILED","no","44884","6838","51722","94.9"
"2026-05-04T01:25:09+00:00","BOOKKEEPER-846","td","claude","run 1","PASSED","yes","11145","2307","13452","38.5"
"2026-05-04T01:29:59+00:00","BOOKKEEPER-846","td","claude","run 2","PASSED","yes","24028","2863","26891","54.4"
"2026-05-04T01:35:36+00:00","BOOKKEEPER-846","td","openai","run 1","FAILED","yes","30894","2377","33271","25.3"
"2026-05-04T01:40:40+00:00","BOOKKEEPER-846","td","openai","run 2","FAILED","yes","43796","1883","45679","29.6"
"2026-05-04T01:52:41+00:00","BOOKKEEPER-846","td","claude","run 1","PASSED","no","7165","1891","9056","36.0"
"2026-05-04T01:58:13+00:00","BOOKKEEPER-846","td","claude","run 2","PASSED","no","7165","2003","9168","79.2"
"2026-05-04T02:23:45+00:00","BOOKKEEPER-846","td","openai","run 1","FAILED","no","21103","1949","23052","17.9"
"2026-05-04T02:07:21+00:00","BOOKKEEPER-846","td","openai","run 2","FAILED","no","21147","1964","23111","31.3"
"2026-05-04T02:31:02+00:00","COLLECTIONS-812","td","claude","run 1","PASSED","yes","8156","5765","13921","78.4"
"2026-05-04T02:34:50+00:00","COLLECTIONS-812","td","claude","run 2","PASSED","yes","8156","6803","14959","110.1"
"2026-05-04T02:37:47+00:00","COLLECTIONS-812","td","openai","run 1","FAILED","yes","22861","1786","24647","17.3"
"2026-05-04T02:40:47+00:00","COLLECTIONS-812","td","openai","run 2","FAILED","yes","33665","1850","35515","16.6"
"2026-05-04T02:45:42+00:00","COLLECTIONS-812","td","claude","run 1","PASSED","no","7077","14118","21195","178.9"
"2026-05-04T02:50:37+00:00","COLLECTIONS-812","td","claude","run 2","PASSED","no","7077","15504","22581","181.7"
"2026-05-04T02:52:40+00:00","COLLECTIONS-812","td","openai","run 1","FAILED","no","12222","914","13136","7.7"
"2026-05-04T02:54:44+00:00","COLLECTIONS-812","td","openai","run 2","FAILED","no","12236","935","13171","7.8"
"2026-05-04T03:48:48+00:00","BOOKKEEPER-709","td","claude","run 1","PASSED","yes","38173","18666","56839","294.2"
"2026-05-04T03:54:54+00:00","BOOKKEEPER-709","td","claude","run 2","PASSED","yes","51651","7490","59141","127.7"
"2026-05-04T03:59:52+00:00","BOOKKEEPER-709","td","openai","run 1","PASSED","yes","30158","2855","33013","28.5"
"2026-05-04T04:03:21+00:00","BOOKKEEPER-709","td","openai","run 2","FAILED","yes","41872","2643","44515","32.7"
"2026-05-04T04:08:42+00:00","BOOKKEEPER-709","td","claude","run 1","PASSED","no","35820","9347","45167","132.5"
"2026-05-04T04:14:18+00:00","BOOKKEEPER-709","td","claude","run 2","FAILED","no","41265","11084","52349","158.7"
"2026-05-04T04:18:55+00:00","BOOKKEEPER-709","td","openai","run 1","FAILED","no","22580","1976","24556","23.4"
"2026-05-04T04:22:33+00:00","BOOKKEEPER-709","td","openai","run 2","FAILED","no","19743","2014","21757","21.8"
"2026-05-04T04:28:14+00:00","HBASE-7106","td","claude","run 1","PASSED","yes","10845","2456","13301","44.2"
"2026-05-04T04:30:51+00:00","HBASE-7106","td","claude","run 2","FAILED","yes","36420","9847","46267","148.3"
"2026-05-04T04:33:38+00:00","HBASE-7106","td","openai","run 1","FAILED","yes","27420","1923","29343","22.4"
"2026-05-04T04:36:22+00:00","HBASE-7106","td","openai","run 2","FAILED","yes","35892","2104","37996","27.3"
"2026-05-04T04:40:09+00:00","HBASE-7106","td","claude","run 1","FAILED","no","35820","9456","45276","132.4"
"2026-05-04T04:43:21+00:00","HBASE-7106","td","claude","run 2","FAILED","no","38712","10215","48927","145.8"
"2026-05-04T04:46:30+00:00","HBASE-7106","td","openai","run 1","FAILED","no","18342","1872","20214","21.7"
"2026-05-04T04:49:43+00:00","HBASE-7106","td","openai","run 2","FAILED","no","20846","1923","22769","22.4"
"2026-05-04T04:54:25+00:00","ZOOKEEPER-2181","td","claude","run 1","FAILED","yes","37245","10628","47873","152.4"
"2026-05-04T04:58:50+00:00","ZOOKEEPER-2181","td","claude","run 2","FAILED","yes","42158","11923","54081","178.6"
"2026-05-04T05:02:34+00:00","ZOOKEEPER-2181","td","openai","run 1","FAILED","yes","37864","2342","40206","28.9"
"2026-05-04T05:06:11+00:00","ZOOKEEPER-2181","td","openai","run 2","FAILED","yes","32145","2087","34232","26.4"
"2026-05-04T05:11:08+00:00","ZOOKEEPER-2181","td","claude","run 1","FAILED","no","38470","10847","49317","148.6"
"2026-05-04T05:15:36+00:00","ZOOKEEPER-2181","td","claude","run 2","FAILED","no","42193","11526","53719","164.2"
"2026-05-04T05:19:14+00:00","ZOOKEEPER-2181","td","openai","run 1","FAILED","no","27341","2089","29430","24.8"
"2026-05-04T05:22:48+00:00","ZOOKEEPER-2181","td","openai","run 2","FAILED","no","21987","1934","23921","22.1"
"2026-05-09T08:26:58+00:00","OOZIE-3683","td","claude","run 1","INCOMPLETE","yes","0","0","0","0.0"
"2026-05-09T08:31:30+00:00","OOZIE-3683","td","claude","run 2","INCOMPLETE","yes","0","0","0","0.0"
"2026-05-09T08:43:34+00:00","APEXCORE-403","td","claude","run 1","INCOMPLETE","yes","0","0","0","0.0"
"2026-05-09T08:44:44+00:00","APEXCORE-403","td","claude","run 2","INCOMPLETE","yes","0","0","0","0.0"
"2026-05-09T08:45:52+00:00","APEXCORE-403","td","openai","run 1","INCOMPLETE","yes","0","0","0","0.0"
"2026-05-09T08:47:09+00:00","APEXCORE-403","td","openai","run 2","INCOMPLETE","yes","0","0","0","0.0"
"2026-05-09T09:21:17+00:00","OOZIE-3683","td","claude","run 1","INCOMPLETE","yes","0","0","0","0.0"
"2026-05-09T09:25:41+00:00","OOZIE-3683","td","openai","run 1","INCOMPLETE","yes","0","0","0","0.0"
"2026-05-09T09:31:26+00:00","OOZIE-3683","td","claude","run 1","INCOMPLETE","yes","0","0","0","0.0"
"2026-05-09T09:36:47+00:00","OOZIE-3683","td","openai","run 1","FAILED","yes","56577","1838","58415","20.7"
"2026-05-09T09:53:27+00:00","BOOKKEEPER-709","td","claude","run 1","FAILED","yes","39922","18677","58599","284.4"
"2026-05-09T10:01:23+00:00","BOOKKEEPER-709","td","claude","run 2","FAILED","yes","56941","20529","77470","313.6"
"2026-05-09T10:22:15+00:00","HBASE-27051","td","claude","run 1","FAILED","yes","19131","5033","24164","79.6"
"2026-05-09T10:31:15+00:00","HBASE-27051","td","claude","run 2","FAILED","yes","20358","7588","27946","128.1"
"2026-05-09T10:38:28+00:00","HBASE-27051","td","openai","run 1","FAILED","yes","13835","1265","15100","13.5"
"2026-05-09T10:45:38+00:00","HBASE-27051","td","openai","run 2","FAILED","yes","13730","1176","14906","14.2"
"2026-05-09T10:54:25+00:00","HBASE-27051","td","claude","run 1","FAILED","no","16160","6625","22785","94.9"
"2026-05-09T11:02:48+00:00","HBASE-27051","td","claude","run 2","FAILED","no","18593","6880","25473","97.4"
"2026-05-09T11:09:52+00:00","HBASE-27051","td","openai","run 1","FAILED","no","13058","1222","14280","15.4"
"2026-05-09T11:17:49+00:00","HBASE-27051","td","openai","run 2","FAILED","no","12698","1157","13855","12.4"
"2026-05-09T11:20:51+00:00","ZOOKEEPER-4327-testRequestThrottler","td","claude","run 1","FAILED","yes","28619","4388","33007","81.2"
"2026-05-09T11:23:33+00:00","ZOOKEEPER-4327-testRequestThrottler","td","claude","run 2","FAILED","yes","29287","4880","34167","72.6"
"2026-05-09T11:25:17+00:00","ZOOKEEPER-4327-testRequestThrottler","td","openai","run 1","FAILED","yes","36025","2803","38828","18.4"
"2026-05-09T11:26:51+00:00","ZOOKEEPER-4327-testRequestThrottler","td","openai","run 2","FAILED","yes","32064","2851","34915","15.3"
"2026-05-09T11:31:25+00:00","ZOOKEEPER-4327-testRequestThrottler","td","claude","run 1","FAILED","no","32385","10748","43133","184.1"
"2026-05-09T11:34:51+00:00","ZOOKEEPER-4327-testRequestThrottler","td","claude","run 2","FAILED","no","28506","7341","35847","125.1"
"2026-05-09T11:36:31+00:00","ZOOKEEPER-4327-testRequestThrottler","td","openai","run 1","FAILED","no","31609","2822","34431","16.6"
"2026-05-09T11:38:07+00:00","ZOOKEEPER-4327-testRequestThrottler","td","openai","run 2","FAILED","no","30329","2470","32799","13.7"
"2026-05-09T11:45:13+00:00","BOOKKEEPER-709","td","claude","run 1","PASSED","yes","53882","12654","66536","212.0"
"2026-05-09T11:53:13+00:00","BOOKKEEPER-709","td","claude","run 2","PASSED","yes","60665","15903","76568","229.1"
"2026-05-09T18:06:53+00:00","BOOKKEEPER-709","td","claude","run 1","FAILED","no","29173","18829","48002","329.0"
"2026-05-09T18:12:44+00:00","BOOKKEEPER-709","td","claude","run 2","PASSED","no","28319","7647","35966","129.5"
"2026-05-09T18:16:40+00:00","BOOKKEEPER-709","td","openai","run 1","FAILED","no","21461","2672","24133","22.9"
"2026-05-09T18:20:29+00:00","BOOKKEEPER-709","td","openai","run 2","FAILED","no","21464","2744","24208","19.1"
"2026-05-23T11:39:46+00:00","shardingsphereelasticjobelasticjoblitecore4b9afa4","od","claude-sonnet-4-6","run 1","PASSED","agentic","58468","3131","61599","49.9"
"2026-05-23T11:41:56+00:00","shardingsphereelasticjobelasticjoblitecore4b9afa4","od","claude-sonnet-4-6","run 2","FAILED","agentic","139538","6806","146344","96.1"
"2026-05-23T12:33:49+00:00","shardingsphereelasticjobelasticjoblitecore4b9afa4","od","claude-sonnet-4-6","run 1","PASSED","agentic","64824","2848","67672","43.8"
"2026-05-23T12:38:23+00:00","shardingsphereelasticjobelasticjoblitecore4b9afa4","od","claude-sonnet-4-6","run 2","PASSED","agentic","186699","6702","193401","106.6"

"2026-05-23T12:57:59+00:00","shardingsphereelasticjobelasticjoblitecore4b9afa4","od","claude-sonnet-4-6","run_1","PASSED","agentic","55932","2715","58647","49.1"
"2026-05-23T13:01:53+00:00","shardingsphereelasticjobelasticjoblitecore4b9afa4","od","claude-sonnet-4-6","run_2","PASSED","agentic","104254","4956","109210","87.5"

"2026-05-23T13:09:34+00:00","commonslang1163e17testReflectionHashCodeExcludeFields","id","claude-sonnet-4-6","run_1","INCOMPLETE","agentic","105092","3268","108360","60.9"
"2026-05-23T13:11:35+00:00","commonslang1163e17testReflectionHashCodeExcludeFields","id","claude-sonnet-4-6","run_2","INCOMPLETE","agentic","100296","4643","104939","79.4"

"2026-05-23T13:32:18+00:00","commonslang1163e17testReflectionHashCodeExcludeFields","id","claude-sonnet-4-6","run_1","PASSED","agentic","232083","16716","248799","231.3"
"2026-05-23T13:45:59+00:00","commonslang1163e17testReflectionHashCodeExcludeFields","id","claude-sonnet-4-6","run_2","PASSED","agentic","322551","18020","340571","262.5"

"2026-05-23T13:52:41+00:00","BOOKKEEPER-846","td","claude-sonnet-4-6","run_1","PASSED","agentic","214753","4845","219598","92.9"
"2026-05-23T13:58:53+00:00","BOOKKEEPER-846","td","claude-sonnet-4-6","run_2","PASSED","agentic","159922","3273","163195","63.8"

"2026-05-23T14:20:04+00:00","elasticjobf0d","nio","claude-sonnet-4-6","run_1","PASSED","agentic","111127","5214","116341","81.5"
"2026-05-23T14:24:36+00:00","elasticjobf0d","nio","claude-sonnet-4-6","run_2","PASSED","agentic","43545","2054","45599","34.3"

"2026-05-24T06:34:56+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_1","INCOMPLETE","agentic","0","0","0","0.0"
"2026-05-24T06:35:50+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_2","INCOMPLETE","agentic","0","0","0","0.0"
"2026-05-24T06:36:25+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_3","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-24T06:49:56+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_1","INCOMPLETE","agentic","0","0","0","0.0"
"2026-05-24T06:50:31+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_2","INCOMPLETE","agentic","0","0","0","0.0"
"2026-05-24T06:51:02+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_3","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-24T07:06:25+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_1","INCOMPLETE","agentic","0","0","0","0.0"
"2026-05-24T07:07:00+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_2","INCOMPLETE","agentic","0","0","0","0.0"
"2026-05-24T07:07:33+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_3","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-24T07:14:30+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_1","INCOMPLETE","agentic","0","0","0","0.0"
"2026-05-24T07:15:11+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_2","INCOMPLETE","agentic","0","0","0","0.0"
"2026-05-24T07:15:45+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_3","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-24T13:58:58+00:00","jnrposixd9f3f84","od","gpt-4o","run_1","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-24T14:01:04+00:00","jnrposixd9f3f84","od","gpt-4o","run_1","FAILED","agentic","311192","3189","314381","52.8"

"2026-05-25T04:21:52+00:00","jnrposixd9f3f84","od","gpt-4o","run_1","PASSED","agentic","220163","1982","222145","36.9"

"2026-05-25T04:34:34+00:00","jnrposixd9f3f84","od","gpt-4o","run_1","PASSED","agentic","208531","1926","210457","31.7"

"2026-05-25T06:40:10+00:00","elasticjob294","nio","gpt-4o","run_1","FAILED","agentic","145727","4291","150018","42.7"

"2026-05-25T07:33:50+00:00","elasticjob294","nio","gpt-4o","run_1","PASSED","agentic","139341","4169","143510","46.5"

"2026-05-25T11:19:33+00:00","HDFS-15702","td","gpt-4o","run_1","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-25T11:37:48+00:00","HDFS-15702","td","gpt-4o","run_1","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-25T11:38:02+00:00","HDFS-15702","td","gpt-4o","run_1","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-25T11:38:13+00:00","HDFS-15702","td","gpt-4o","run_1","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-25T12:27:08+00:00","HDFS-15702","td","gpt-4o","run_1","FAILED","agentic","198733","7951","206684","68.7"

"2026-05-25T13:20:44+00:00","HDFS-15702","td","gpt-4o","run_1","FAILED","agentic","1251381","9832","1261213","127.6"

"2026-05-25T13:33:59+00:00","jnrposixd9f3f84","od","gpt-4o","run_1","PASSED","agentic","254896","2598","257494","47.3"

"2026-05-25T13:46:38+00:00","elasticjob294","nio","gpt-4o","run_1","FAILED","agentic","266862","4581","271443","57.0"

"2026-05-25T17:15:59+00:00","elasticjobf0d","nio","gpt-4o","run_1","PASSED","agentic","42455","954","43409","17.5"
"2026-05-25T17:21:22+00:00","elasticjobf0d","nio","gpt-4o","run_2","PASSED","agentic","24082","1946","26028","17.9"

"2026-05-25T17:29:20+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_1","INCOMPLETE","agentic","0","0","0","0.0"
"2026-05-25T17:29:37+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_2","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-25T17:48:22+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_1","FAILED","agentic","325732","5457","331189","73.3"
"2026-05-25T17:53:55+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_2","FAILED","agentic","222012","4202","226214","48.0"

"2026-05-25T18:37:23+00:00","jnrposixd9f3f84","od","gpt-4o","run_1","PASSED","agentic","309109","2465","311574","58.4"

"2026-05-25T18:40:37+00:00","jnrposixd9f3f84","od","gpt-4o","run_1","PASSED","agentic","191083","1461","192544","31.1"
"2026-05-25T18:44:10+00:00","jnrposixd9f3f84","od","gpt-4o","run_2","PASSED","agentic","214709","1995","216704","41.6"

"2026-05-30T07:01:27+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_1","FAILED","agentic","1368231","10236","1378467","119.9"
"2026-05-30T07:06:38+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_2","FAILED","agentic","274909","5331","280240","80.9"

"2026-05-31T04:51:25+00:00","HBASE-27051","td","gpt-4o","run_1","FAILED","agentic","176114","3939","180053","7113.9"

"2026-05-31T13:54:36+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_1","FAILED","agentic","111768","4533","116301","42.0"
"2026-05-31T14:01:03+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_2","FAILED","agentic","289059","6870","295929","64.0"

"2026-05-31T14:40:39+00:00","HBASE-27051","td","gpt-4o","run_1","FAILED","agentic","263853","5550","269403","55.5"

"2026-05-31T15:11:18+00:00","HBASE-27051","td","gpt-4o","run_1","PASSED","agentic","27349","1676","29025","16.9"

"2026-05-31T16:21:26+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_1","FAILED","agentic","237534","6404","243938","59.3"

"2026-05-31T16:55:31+00:00","jnrposixd9f3f84","od","gpt-4o","run_1","PASSED","agentic","188799","1503","190302","26.2"
"2026-05-31T16:59:06+00:00","jnrposixd9f3f84","od","gpt-4o","run_2","PASSED","agentic","172334","953","173287","22.7"
